original_index,ocsvm_score,ocsvm_prediction,severity_unified_original,severity_unified_binary
467,0.2185527968250014,normal,-,0
468,0.1976346511742424,normal,-,0
469,0.34059465343157136,normal,-,0
470,0.3588677524308199,normal,-,0
471,0.22347206750563942,normal,-,0
472,0.13071779452338284,normal,-,0
473,0.3581967601035174,normal,-,0
474,0.3581967601035174,normal,-,0
475,0.34059465343157136,normal,-,0
476,0.2596807626093369,normal,-,0
477,0.256709114807224,normal,-,0
478,0.2387034681688025,normal,-,0
479,0.3358336126269279,normal,-,0
480,0.4082414139771675,normal,-,0
481,0.3693574570000724,normal,-,0
482,0.3773776262566866,normal,-,0
483,0.3358336126269279,normal,-,0
484,0.30011199710278547,normal,-,0
485,0.2387034681688025,normal,-,0
486,0.2387034681688025,normal,-,0
487,0.3358336126269279,normal,-,0
488,0.08424614716568968,normal,-,0
489,0.22211532768963238,normal,-,0
490,0.38336352024981046,normal,-,0
491,0.3773776262566866,normal,-,0
492,0.3773776262566866,normal,-,0
493,0.4759448935317607,normal,-,0
494,0.3358336126269279,normal,-,0
495,0.24687401215572358,normal,-,0
496,0.2677195926829423,normal,-,0
497,0.4356802657358898,normal,-,0
498,0.4759448935317607,normal,-,0
499,0.3773776262566866,normal,-,0
